DOY,Date,Average NDVI
2000049,18/2/2000,4695.111111
2000065,5/3/2000,4513.711662
2000081,21/3/2000,4454.667585
2000097,6/4/2000,4336.793388
2000113,22/4/2000,4684.452709
2000129,8/5/2000,5067.307622
2000145,24/5/2000,5707.995409
2000161,9/6/2000,4179.437098
2000177,25/6/2000,5775.589532
2000193,11/7/2000,4873.277319
2000209,27/7/2000,5275.705234
2000225,12/8/2000,5142.977043
2000241,28/8/2000,5466.4573
2000257,13/9/2000,5814.459137
2000273,29/9/2000,5858.684114
2000289,15/10/2000,5515.754821
2000305,31/10/2000,5776.168962
2000321,16/11/2000,5324.94674
2000337,2/12/2000,5296.584022
2000353,18/12/2000,5117.349862
2001001,1/1/2001,4746.470156
2001017,17/1/2001,4911.014692
2001033,2/2/2001,4917.599633
2001049,18/2/2001,4757.12764
2001065,6/3/2001,4873.84573
2001081,22/3/2001,5243.460973
2001097,7/4/2001,5155.565657
2001113,23/4/2001,5049.627181
2001129,9/5/2001,5286.87236
2001145,25/5/2001,6011.636364
2001161,10/6/2001,3007.059688
2001177,26/6/2001,3274.999082
2001193,12/7/2001,5138.324151
2001209,28/7/2001,5601.790634
2001225,13/8/2001,5954.140496
2001241,29/8/2001,5542.465565
2001257,14/9/2001,5470.318641
2001273,30/9/2001,4467.304867
2001289,16/10/2001,6066.346189
2001305,1/11/2001,5612.17539
2001321,17/11/2001,5347.464646
2001337,3/12/2001,5288.849403
2001353,19/12/2001,5219.751148
2002001,1/1/2002,4733.825528
2002017,17/1/2002,4472.290174
2002033,2/2/2002,4285.598714
2002049,18/2/2002,4574.302112
2002065,6/3/2002,4848.846648
2002081,22/3/2002,4801.435262
2002097,7/4/2002,4771.777778
2002113,23/4/2002,5057.714417
2002129,9/5/2002,5321.190083
2002145,25/5/2002,5858.878788
2002161,10/6/2002,5189.210285
2002177,26/6/2002,5442.358127
2002193,12/7/2002,4785.027548
2002209,28/7/2002,4718.637282
2002225,13/8/2002,5452.338843
2002241,29/8/2002,5634.725436
2002257,14/9/2002,5745.332415
2002273,30/9/2002,5789.477502
2002289,16/10/2002,5825.77135
2002305,1/11/2002,5668.421488
2002321,17/11/2002,5534.25528
2002337,3/12/2002,5735.861341
2002353,19/12/2002,5394.108356
2003001,1/1/2003,5165.948577
